P91003,U,2004,1
P92643,2,2008,13
P87016,5,1994,465
P83608,K,2009,1
P83608,k,2009,14
P87620,6,2002,1080
N81014,l,1998,3
ZZZX,L,2014,5
P87634,C,2005,607
P87634,c,2005,5203
P87639,A,1957,2
P83001,2,2008,463
P87017,H,1952,1
P83605,F,1992,2
Y02886,9,1996,7
ZZZX,R,2006,2524
N81122,M,1997,1
P83029,9,2001,2
P87002,U,1992,14
P87039,5,2002,906
P87022,2,1998,909
P87668,k,2001,175
P87668,K,2001,16
P87002,5,2007,4064
P87618,N,1997,75
P87630,W,2007,262
P91605,G,2007,1
N81020,b,2010,2
P87620,P,1934,2
P87017,6,1987,578
P87014,Q,1996,3
P87014,q,1996,1
P92602,4,2002,55
P91617,R,2013,3
Y01695,~,2005,2
P87613,O,1987,1
P87632,9,1935,1
P87637,5,2001,154
P87015,7,1963,4
P87641,9,1982,6
P87657,B,1976,3
P84631,K,2007,1
P83603,9,2002,5
P91623,$,2006,2
P92605,j,2005,67
P92605,J,2005,9
P83010,4,2010,107
Y02520,H,1997,4
P87632,H,1957,1
P87661,0,1997,3
P87642,0,2011,58
P87016,3,1981,2
P83020,5,2010,8
P91619,8,2004,12
P84065,C,2009,2
P87652,N,1991,4
P87652,K,2012,162
P87627,4,2001,10938
P87652,k,2012,708
Y02129,R,2011,15
P84661,M,2007,2
P87624,K,1975,10
P92648,Z,2005,2
P87668,2,1991,770
P91627,7,2005,9
Y02321,G,2005,3
P92002,5,2002,1
P87036,O,2003,2
P87036,o,2003,4
P87648,5,1988,2
P87039,P,1970,1
P82018,b,2005,7
P91619,g,2002,2
P84631,~,1997,1
P87022,d,2009,12108
P87022,D,2009,16
P87634,M,1975,5
P91605,8,2009,16
P87630,5,2013,1186
Y02622,6,2007,1111
P87003,A,1980,15
Y02325,N,2005,2
P87652,E,2009,45
P87652,e,2009,2662
Y02790,6,2012,1
P87008,Z,2002,297
P91021,J,1936,1
P87658,A,1967,1
P87026,p,2009,1745
P87026,P,2009,1431
Y02623,d,2009,16
P87620,4,2013,208729
P87019,J,1971,9
P84074,L,2007,4
P84074,l,2007,12
P87036,9,1963,1
P82007,~,1987,1
Y00050,2,1992,1
P87035,R,2008,563
P87017,0,1999,135
Not Recorded,A,1989,1
P87614,G,2012,4
P87040,9,1998,1777
P83605,e,2003,11
P83605,E,2003,14
P92033,5,2002,2
